trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
129,False,"{'a': 0.5, 'e': 0.9643852094294354}",25,0,-121.05073704684825,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
130,False,"{'a': 0.5, 'e': 0.9640193140376537}",30,0,-102.87716805496967,"{0: 23, 1: 0, 2: 5, 3: 0, 4: 2}",0
131,False,"{'a': 0.5, 'e': 0.9636507703667806}",25,0,-158.81781550962776,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
132,False,"{'a': 0.5, 'e': 0.963279561482693}",20,14,-39.15525429045667,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 1}",1
133,False,"{'a': 0.5, 'e': 0.9629056703772645}",30,0,-189.43489097527274,"{0: 19, 1: 1, 2: 5, 3: 2, 4: 3}",0
134,False,"{'a': 0.5, 'e': 0.9625290799685945}",20,0,-56.102960853747476,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.9621497731012502}",20,0,-90.23158860611954,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.9617677325465193}",25,0,-150.54690359064224,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
137,False,"{'a': 0.5, 'e': 0.9613829410026759}",20,0,-120.79205264158573,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
138,False,"{'a': 0.5, 'e': 0.9609953810952565}",25,0,-133.58653020057105,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
139,False,"{'a': 0.5, 'e': 0.9606050353773498}",20,0,-95.99251334732138,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
140,False,"{'a': 0.5, 'e': 0.9602118863298975}",25,0,-232.54905026139124,"{0: 11, 1: 6, 2: 2, 3: 2, 4: 4}",0
141,False,"{'a': 0.5, 'e': 0.959815916362008}",25,0,-111.5668026993638,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
142,False,"{'a': 0.5, 'e': 0.9594171078112832}",20,0,-48.77718652448936,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.959015442944157}",35,0,-259.90226428062385,"{0: 19, 1: 4, 2: 6, 3: 2, 4: 4}",0
144,False,"{'a': 0.5, 'e': 0.9586109039562479}",20,0,-110.64256306154938,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
145,False,"{'a': 0.5, 'e': 0.9582034729727243}",30,0,-228.64703634520654,"{0: 16, 1: 3, 2: 7, 3: 0, 4: 4}",0
146,False,"{'a': 0.5, 'e': 0.9577931320486827}",20,6,-86.7488032896405,"{0: 7, 1: 1, 2: 5, 3: 0, 4: 1}",1
147,False,"{'a': 0.5, 'e': 0.9573798631695405}",25,0,-85.52692476534779,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
148,False,"{'a': 0.5, 'e': 0.9569636482514409}",20,0,-79.1211216670281,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
149,False,"{'a': 0.5, 'e': 0.9565444691416737}",25,2,-29.2597898306806,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.9561223076191087}",20,0,-60.762895780919855,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
151,False,"{'a': 0.5, 'e': 0.9556971453946432}",20,0,-152.96966307609344,"{0: 10, 1: 1, 2: 4, 3: 4, 4: 1}",0
152,False,"{'a': 0.5, 'e': 0.9552689641116658}",20,0,-74.99916468551883,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
153,False,"{'a': 0.5, 'e': 0.9548377453465325}",20,0,-139.23054522872,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
154,False,"{'a': 0.5, 'e': 0.9544034706090593}",35,0,-51.24357768611033,"{0: 27, 1: 1, 2: 6, 3: 1, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.9539661213430285}",20,0,-113.96400081440616,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
156,False,"{'a': 0.5, 'e': 0.9535256789267119}",20,9,-28.736599572479733,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.9530821246734079}",25,0,-115.9016455198776,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
158,False,"{'a': 0.5, 'e': 0.9526354398319946}",20,0,-31.560610712403054,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
159,False,"{'a': 0.5, 'e': 0.9521856055874992}",25,0,-28.530177216374717,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
160,False,"{'a': 0.5, 'e': 0.9517326030616832}",20,0,-152.18692911567405,"{0: 9, 1: 2, 2: 4, 3: 4, 4: 1}",0
161,False,"{'a': 0.5, 'e': 0.9512764133136423}",25,0,-49.51649688915003,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
